"小区名称" "所属地区"
"小泥湾" "海淀"
"管庄西里" "朝阳"
"富强西里" "大兴"
"龙湖花盛香醍" "通州"
"润泽悦溪" "朝阳"
"国美第一城2号院" "朝阳"
"团结大院" "西城"
"金隅美和园" "海淀"
"金隅美和园东区" "海淀"
"华阳家园" "朝阳"
"望园东里" "丰台"
"杨庄小区" "石景山"
"杨庄小区" "通州"
"三源里街" "朝阳"
"安贞苑50号院" "东城"
"安外东河沿" "东城"
"长城国际" "通州"
"瑞都国际南区" "通州"
"新龙城" "昌平"
"瑞雪春堂" "房山"
"长丰园二区" "大兴"
"三里河二区A区" "西城"
"西四北大街156号" "西城"
"远大园二区" "海淀"
"远大园五区" "海淀"
"车道沟南里" "海淀"
"苇子坑22号院" "丰台"
"郁花园二里" "大兴"
"南华东街2号院" "西城"
"东关南里小区" "昌平"
"科源小区" "海淀"
"清缘东里" "海淀"
"富力城D区" "朝阳"
"龙华园" "昌平"
"大慧寺12号院" "海淀"
"向军北里" "朝阳"
"百旺茉莉园" "海淀"
"安宁里" "海淀"
"安宁里南区" "海淀"
"滨河西里" "大兴"
"滨河西里北区" "大兴"
"安贞里" "朝阳"
"天通苑本六区" "昌平"
"融泽嘉园" "昌平"
"三不老胡同" "西城"
"西便门东里" "西城"
"南沙滩小区" "朝阳"
"龙熙顺景" "大兴"
"马家堡路23号院" "丰台"
"富力城B区" "朝阳"
"华清嘉园" "海淀"
"龙华园" "昌平"
"会城门小区" "海淀"
"望京西园一区" "朝阳"
"日坛国际公寓" "朝阳"
"霁月园" "门头沟"
"西辛南区" "顺义"
"金融街融汇" "大兴"
"首创新悦都" "房山"
"太平桥小区" "丰台"
"万润家园" "昌平"
"博龙家园" "丰台"
"大屯里小区" "朝阳"
"复兴路63号" "海淀"
"东湖湾三期" "朝阳"
"中海馥园" "海淀"
"华威北里" "朝阳"
"红木林" "大兴"
"秀水园" "朝阳"
"筑梦园" "丰台"
"金沟河17号院" "海淀"
"远洋LAVIE" "朝阳"
"远洋沁山水" "石景山"
"远洋傲北" "昌平"
"远洋万和城A区" "朝阳"
"远洋万和公馆" "朝阳"
"远洋天著三期" "大兴"
"远洋国际中心" "朝阳"
"远洋山水" "石景山"
"远洋风景" "海淀"
"远洋德邑" "东城"
"远洋自然" "丰台"
"远洋新干线" "朝阳"
"远洋公馆" "朝阳"
"远洋商务" "朝阳"
"远洋一方林语苑" "朝阳"
"远洋一方北润园" "朝阳"
"远洋一方润园2号院" "朝阳"
"远洋一方花语苑" "朝阳"
"远洋一方溪语苑" "朝阳"
"远洋一方新悦二期" "朝阳"
"远洋一方新悦一期" "朝阳"
"远洋天地二期" "朝阳"
"远洋天地三期" "朝阳"
"远洋天地一期" "朝阳"
"远洋东方公馆" "通州"
"远洋天著二期" "大兴"
"远洋天著一期" "大兴"
"远洋万和城B区" "朝阳"
"远洋万和城C区" "朝阳"
"远洋一方润园6号院" "朝阳"
"富锦嘉园四区" "丰台"
"天骄俊园9号院" "丰台"
"北太平路16号院" "海淀"
"芍药居甲2号院" "朝阳"
"新华联家园南区" "通州"
"苹果社区南区" "朝阳"
"绮霞苑" "门头沟"
"贵园北里戊区" "亦庄开发区"
"十里堡北里" "朝阳"
"西上园四区" "通州"
"和平里六区" "东城"
"国海广场" "海淀"
"安华西里三区" "朝阳"
"流星花园二区" "昌平"
"永泰东里" "海淀"
"怡清园" "海淀"
"通惠家园" "朝阳"
"华威北里" "朝阳"
"芳园" "丰台"
"雪芳园" "海淀"
"五芳园" "石景山"
"芳园里" "朝阳"
"华芳园" "丰台"
"育芳园" "丰台"
"玉芳园" "丰台"
"群芳园" "通州"
"胜芳园" "延庆"
"艺水芳园" "朝阳"
"满庭芳园" "海淀"
"紫芳园一区" "丰台"
"紫芳园三区" "丰台"
"芳园南里" "朝阳"
"育芳园东里" "丰台"
"育芳园甲一号院" "丰台"
"芳园南里西区" "朝阳"
"芳园南里3号院" "朝阳"
"紫芳园二区香园" "丰台"
"都市芳园锦湖园" "昌平"
"都市芳园丽湖园" "昌平"
"都市芳园明湖园" "昌平"
"都市芳园镜湖园" "昌平"
"都市芳园嘉湖园" "昌平"
"都市芳园翠湖园" "昌平"
"都市芳园碧湖园" "昌平"
"万年花城二期" "丰台"
"方庄6号" "丰台"
"首开璞瑅" "丰台"
"和乔丽晶一期" "朝阳"
"安慧里一区" "朝阳"
"麦子店街" "朝阳"
"云趣园三区" "昌平"
"泰中花园" "大兴"
"润泽悦溪" "朝阳"
"朝阳园" "朝阳"
"国际创展中心" "朝阳"
"青年沟" "东城"
"青年汇佳园" "朝阳"
"北京青年城" "朝阳"
"青年沟23号院" "朝阳"
"青年报社公寓" "朝阳"
"青年湖东里" "东城"
"青年湖北里" "东城"
"青年公寓" "海淀"
"青年湖南街" "东城"
"青年湖西里" "东城"
"青年新城" "燕郊"
"青年公寓" "石景山"
"青年湖南里" "东城"
"青年湖北街" "东城"
"青年路小区" "朝阳"
"西青年沟" "东城"
"青年路51号" "朝阳"
"青年路家属楼" "朝阳"
"青年湖南街6号院" "东城"
"雅成一里" "朝阳"
"鸭子桥北里" "西城"
"青年湖别墅" "东城"
"青年公寓" "房山"
"青年社区二期" "燕郊"
"快捷青年公寓" "大兴"
"青年南路7号楼" "房山"
"青年南路8号楼" "房山"
"尚北青年公寓" "昌平"
"建工学院青年公寓" "西城"
"青年湖北街18号院" "东城"
"尚东阁" "朝阳"
"融泽嘉园" "昌平"
"兴城丽源" "大兴"
"双旗杆东里" "西城"
"亦庄北岸" "大兴"
"兆丰园" "丰台"
"兆丰园南区" "丰台"
"德茂小区" "大兴"
"永乐东区" "石景山"
"太阳园" "海淀"
"苹果园小区四区" "石景山"
"石榴园北里小区" "丰台"
"云趣园三区" "昌平"
"惠新西里一区" "朝阳"
"建欣苑一里" "丰台"
"未来66" "丰台"
"国祥胡同4号院" "东城"
"顺源里" "朝阳"
"润枫德尚苑" "朝阳"
"富仁名苑" "朝阳"
"时雨园" "海淀"
"望河园" "海淀"
"观澜国际" "海淀"
"光熙门北里" "朝阳"
"农光里" "朝阳"
"模式口西里" "石景山"
"农光南路" "朝阳"
"望京西园三区" "朝阳"
"绿荫芳邻" "朝阳"
"华鼎世家二期" "朝阳"
"宝盛里" "海淀"
"观林园" "海淀"
"芳馨园" "朝阳"
"万寿路1号院" "海淀"
"六里屯东里" "朝阳"
"京汉旭城" "石景山"
"京汉旭城三期" "石景山"
"安慧北里秀园" "朝阳"
"龙华园" "昌平"
"厂洼西街1号院" "海淀"
"青年沟" "东城"
"青年汇佳园" "朝阳"
"北京青年城" "朝阳"
"青年沟23号院" "朝阳"
"青年报社公寓" "朝阳"
"青年湖东里" "东城"
"青年湖北里" "东城"
"青年公寓" "海淀"
"青年湖南街" "东城"
"青年湖西里" "东城"
"青年新城" "燕郊"
"青年公寓" "石景山"
"青年湖南里" "东城"
"青年湖北街" "东城"
"青年路小区" "朝阳"
"西青年沟" "东城"
"青年路51号" "朝阳"
"青年路家属楼" "朝阳"
"青年湖南街6号院" "东城"
"雅成一里" "朝阳"
"鸭子桥北里" "西城"
"青年湖别墅" "东城"
"青年公寓" "房山"
"青年社区二期" "燕郊"
"快捷青年公寓" "大兴"
"青年南路7号楼" "房山"
"青年南路8号楼" "房山"
"尚北青年公寓" "昌平"
"建工学院青年公寓" "西城"
"青年湖北街18号院" "东城"
"青年湖南街" "东城"
"青年湖南街6号院" "东城"
"天通苑本四区" "昌平"
"万科西山庭院" "海淀"
"天通西苑三区" "昌平"
"博雅国际" "朝阳"
"龙城花园北二区" "昌平"
"北分厂" "海淀"
"潘家园东里" "朝阳"
"丽都壹号" "朝阳"
"和平里七区" "东城"
"武圣东里" "朝阳"
"宜山居" "昌平"
"建邦枫景" "丰台"
"天通苑北二区" "昌平"
"兴隆家园" "朝阳"
"北街家园一区" "昌平"
"品阁公寓" "海淀"
"金科帕提欧" "昌平"
"泰悦豪庭" "朝阳"
"新康园" "海淀"
"大拐棒胡同" "西城"
"爱这城二期" "朝阳"
"北苑家园清友园" "朝阳"
"威尔夏大道" "丰台"
"远洋山水" "石景山"
"加华印象街" "通州"
"太平桥西里" "丰台"
"翠屏北里西区" "通州"
"昌运宫" "海淀"
"昌运宫9号院" "海淀"
"昌运宫1号院" "海淀"
"鹏润家园" "丰台"
"定福庄北里2号院" "朝阳"
"秀水园" "朝阳"
"三羊里" "大兴"
"顺驰领海" "大兴"
"果园南小区" "通州"
"顺驰领海" "大兴"
"行宫园二里" "房山"
"北苑家园清友园" "朝阳"
"清逸园" "大兴"
"清逸园甲区" "大兴"
"阜成门外大街" "西城"
"阜成门外大街36号院" "西城"
"阜成门外大街甲40号" "西城"
"阜成门外大街乙40号" "西城"
"阜成门外大街34号院" "西城"
"宏大南园" "大兴"
"安慧里二区" "朝阳"
"新悦家园" "昌平"
"公园6号" "昌平"
"天竺花园" "顺义"
"华纺易城" "朝阳"
"云趣园一区" "昌平"
"百万庄7号院" "西城"
"海棠湾一期" "通州"
"天秀花园安和园" "海淀"
"惠新西里一区" "朝阳"
"流星花园二区" "昌平"
"樱花园二区" "顺义"
"富强西里" "大兴"
"团结湖北三条" "朝阳"
"玉桥北里" "通州"
"果园南小区" "通州"
"康家园" "朝阳"
"新康家园" "亦庄开发区"
"小康家园" "大兴"
"瑞康家园" "大兴"
"康庄路52号院" "大兴"
"南庭新苑南区" "丰台"
"流星花园三区" "昌平"
"怡海花园富润园" "丰台"
"瞰都国际" "朝阳"
"玉海园三里" "海淀"
"枣园小区" "大兴"
"世纪金色嘉园" "丰台"
"畅柳园" "西城"
"百旺新城" "海淀"
"永泰园" "海淀"
"东南小区" "海淀"
"CBD传奇" "朝阳"
"甜水园街" "朝阳"
"长城国际" "通州"
"模式口西里" "石景山"
"卡尔公寓" "亦庄开发区"
"卡尔生活馆" "亦庄开发区"
"静淑东里" "海淀"
"海丰园公寓" "海淀"
"枣营南里" "朝阳"
"北郊农场宿舍" "昌平"
"彩虹城三区" "丰台"
"新华街六里" "丰台"
"百万庄未区" "西城"
"南五里店45号院" "丰台"
"温泉花园A区" "昌平"
"六建" "海淀"
"半壁店六建宿舍" "海淀"
"西六砖瓦厂家属楼" "海淀"
"电建北院" "朝阳"
"亲亲我家" "大兴"
"模式口西里" "石景山"
"融泽嘉园" "昌平"
"龙锦苑东五区" "昌平"
"西便门内大街79号院" "西城"
"珠江罗马嘉园东区" "朝阳"
"华龙小区" "通州"
"华龙小区二期" "通州"
"马家堡西里" "丰台"
"南太平庄北巷" "朝阳"
"北京新天地" "朝阳"
"博客园" "通州"
"时尚街区东区" "通州"
"潘家园东里" "朝阳"
"四海公寓" "通州"
"安苑东里一区" "朝阳"
"八里庄北里" "海淀"
"八里庄北里小区" "朝阳"
"八里庄北里1号院" "朝阳"
"西八里庄北里56号院" "海淀"
"八里庄北里53号" "海淀"
"西八里庄北里甲1号院" "海淀"
"北京人家" "昌平"
"海棠湾二期" "通州"
"华龙苑南里" "昌平"
"瑞都公园世家南区" "通州"
"新里.西斯莱公馆" "大兴"
"威尔夏大道" "丰台"
"天通西苑三区" "昌平"
"金蝉北里" "朝阳"
"金蝉北里21号院" "朝阳"
"十里堡东里" "朝阳"
"华龙美树" "朝阳"
"望京西园三区" "朝阳"
"绿荫芳邻" "朝阳"
"华鼎世家二期" "朝阳"
"新风南里" "西城"
"润枫锦尚" "丰台"
"华润公元九里" "大兴"
"龙腾苑三区" "昌平"
"三虎桥南路12号院" "海淀"
"山水蓝维" "朝阳"
"山水欧雷山二期" "朝阳"
"裕中东里" "西城"
"裕中东里平房" "西城"
"福苑小区" "大兴"
"西三环北路86号院" "海淀"
"海户西里31号院" "丰台"
"顺驰领海" "大兴"
"华业东方玫瑰C区" "通州"
"华业东方玫瑰" "通州"
"华龙苑南里" "昌平"
"天通苑中苑" "昌平"
"道家园" "朝阳"
"双惠小区" "朝阳"
"仓上小区" "顺义"
"仓上家园" "顺义"
"润千秋佳苑" "海淀"
"中环南路3号院" "朝阳"
"北坞嘉园北里" "海淀"
"龙泽苑东区" "昌平"
"明天第一城5号院" "朝阳"
"新华联家园南区" "通州"
"大方居" "通州"
"华龙小区" "通州"
"华龙小区二期" "通州"
"五芳园" "石景山"
"复兴路30号院" "海淀"
"裕中东里" "西城"
"裕中东里平房" "西城"
"芍药居北里" "朝阳"
"绿雅阁" "朝阳"
"阳光空间" "朝阳"
"世嘉座" "朝阳"
"世捷座" "朝阳"
"静心苑" "昌平"
"阳光新干线" "朝阳"
"李村南里" "东城"
"科研楼" "石景山"
"西三环北路105号院" "海淀"
"金隅国际" "朝阳"
"金隅翡丽一期" "海淀"
"金隅丽景园" "朝阳"
"金隅万科城" "昌平"
"金隅美和园" "海淀"
"金隅丽港城" "朝阳"
"金隅凤麟洲" "朝阳"
"金隅康惠园" "朝阳"
"金隅花石匠" "通州"
"金隅润景阁" "丰台"
"金隅嘉业" "海淀"
"金隅山墅" "海淀"
"金隅景和园" "朝阳"
"金隅嘉和园" "昌平"
"金隅大成" "朝阳"
"金隅澜湾" "昌平"
"金隅瑞和园" "海淀"
"金隅滨和园" "石景山"
"金隅七零九零" "通州"
"金隅观澜时代" "昌平"
"金隅美和园东区" "海淀"
"金隅翡丽爱公馆" "海淀"
"金隅翡丽铂爵郡" "海淀"
"金隅翡丽蓝爵堡" "海淀"
"金隅万科城悦嘉公寓" "昌平"
"香溪家园" "通州"
"金隅汇景苑" "朝阳"
"金隅泰和园" "朝阳"
"金隅通和园" "通州"
"金隅悦和园" "朝阳"
"金隅万科城" "昌平"
"万科城市花园" "顺义"
"金隅万科城悦嘉公寓" "昌平"
"金隅万科城一期" "昌平"
"德茂小区" "大兴"
"博龙家园" "丰台"
"融泽嘉园" "昌平"
"旗舰凯旋一期" "通州"
"保利西山林语" "海淀"
"保利西山林语别墅" "海淀"
"顺驰领海" "大兴"
"尚东阁" "朝阳"
"白广路6号院" "西城"
"白广路6号院平房" "西城"
"融泽嘉园" "昌平"
"杨庄北区" "石景山"
"华严里" "朝阳"
"华严里2号院" "朝阳"
"保利西山林语" "海淀"
"保利西山林语别墅" "海淀"
"翠微路4号" "海淀"
"华悦国际公寓" "朝阳"
"沿海赛洛城" "朝阳"
"美利山" "朝阳"
"雍景四季" "石景山"
"花园路3号院" "海淀"
"苏荷时代" "通州"
"林大北路9号院" "海淀"
"苹果园小区三区" "石景山"
"亿朋苑一区" "丰台"
"曙光花园" "海淀"
"望河园" "海淀"
"望塔园" "海淀"
"望福园" "海淀"
"观澜国际" "海淀"
"知春东里" "海淀"
"郦城二区" "海淀"
"世嘉博苑" "大兴"
"名佳花园三区" "昌平"
"安慧里二区" "朝阳"
"松榆西里" "朝阳"
"新街坊" "朝阳"
"新康家园" "亦庄开发区"
"双锦园" "石景山"
"育芳园" "丰台"
"育芳园东里" "丰台"
"育芳园甲一号院" "丰台"
"小南庄社区" "海淀"
"流星花园三区" "昌平"
"龙跃苑东二区" "昌平"
"东区国际" "朝阳"
"光大花园" "海淀"
"建东苑" "朝阳"
"首开畅心园" "朝阳"
"北苑家园莲葩园" "朝阳"
"北城根小区" "昌平"
"左安漪园" "东城"
"远洋一方花语苑" "朝阳"
"京贸国际城东区" "通州"
"垂杨柳中里" "朝阳"
"朝阳新城二区" "朝阳"
"依翠园" "石景山"
"福怡苑" "朝阳"
"安慧北里秀园" "朝阳"
"蓝调沙龙东区" "通州"
"倚山嘉园" "门头沟"
"长丰园一区" "大兴"
"珠江骏景南区" "丰台"
"高庄" "丰台"
"高庄子小区" "丰台"
"西潞园二里" "房山"
"索家坟" "海淀"
"索家坟20号院" "海淀"
"索家坟平房" "海淀"
"翠微东里" "海淀"
"北三环中路46号院" "海淀"
"润泽悦溪" "朝阳"
"鼎晟国际" "通州"
"望都新地" "昌平"
"望都新地二期" "昌平"
"滨河西里" "大兴"
"滨河西里北区" "大兴"
"三环新城7号院" "丰台"
"加州水郡四期" "房山"
"建予园" "东城"
"角门东里" "丰台"
"康缘居" "丰台"
"诚苑南里" "丰台"
"劲松三区" "朝阳"
"东关北里小区" "昌平"
"团结湖北二条" "朝阳"
"保利首开熙悦春天" "大兴"
"安外西河沿" "东城"
"春风胡同社区" "西城"
"太平桥西里" "丰台"
"南环里" "昌平"
"梧桐苑知秋园" "门头沟"
"澳林春天四期" "朝阳"
"郁花园一里" "大兴"
"数码01大厦" "朝阳"
"韩庄子二里" "丰台"
"樱花园六区" "顺义"
"樱花园" "朝阳"
"樱花园一区" "顺义"
"樱花园二区" "顺义"
"樱花园三区" "顺义"
"小关东里" "朝阳"
"小关东里10号院" "朝阳"
"小关东里8号院" "朝阳"
"松榆西里" "朝阳"
"畅柳园" "西城"
"蒲黄榆四里" "丰台"
"南庭新苑北区" "丰台"
"上海建筑" "丰台"
"望京花园西区" "朝阳"
"珠江峰景" "丰台"
"利景名门" "朝阳"
"华彩国际公寓" "朝阳"
"滨河西里" "大兴"
"滨河西里北区" "大兴"
"西罗园南里" "丰台"
"前进花园一区" "顺义"
"龙湖蔚澜香醍" "通州"
"北京新天地" "朝阳"
"新文化街" "西城"
"新文化街四合院" "西城"
"流星花园三区" "昌平"
"瞰都国际" "朝阳"
"菊园" "海淀"
"北苑家园绣菊园" "朝阳"
"北苑家园绣菊园南区" "朝阳"
"菊花盛苑" "海淀"
"双榆树北里" "海淀"
"美丽西园" "海淀"
"聚兴园" "石景山"
"柏林爱乐二期" "朝阳"
"铁道科学研究院" "海淀"
"塔院小区" "海淀"
"海棠湾一期" "通州"
"荣丰2008" "西城"
"京贸国际城东区" "通州"
"万年花城二期" "丰台"
"万年花城四期" "丰台"
"万年花城三期" "丰台"
"万年花城五期" "丰台"
"万年花城一期" "丰台"
"万年花城回迁" "丰台"
"万年花城新回迁" "丰台"
"万年生态城园博府" "丰台"
"园博府" "丰台"
"万年长安府" "房山"
"万年花城四期" "丰台"
"首开畅心园" "朝阳"
"望园东里" "丰台"
"紫金新干线" "昌平"
"紫金新干线二期" "昌平"
"临泓路6号院" "丰台"
"垡头西里一区" "朝阳"
"中湾国际" "海淀"
"金惠园三里" "大兴"
"双龙南里" "朝阳"
"菊园" "海淀"
"北苑家园绣菊园" "朝阳"
"北苑家园绣菊园南区" "朝阳"
"菊花盛苑" "海淀"
"新华联家园南区" "通州"
"红莲北里" "西城"
"红莲北里17号院" "西城"
"华威北里" "朝阳"
"富力桃园C区" "海淀"
"宝盛北里" "海淀"
"弘善家园" "朝阳"
"小红庙" "西城"
"小红庙南里" "西城"
"万科中粮假日风景" "丰台"
"绿景苑" "东城"
"石景嘉园" "石景山"
"世纪金色嘉园" "丰台"
"紫郡府" "大兴"
"三义里" "西城"
"金隅七零九零" "通州"
"冠城名敦道" "东城"
"富力又一城B区" "朝阳"
"天天家园" "东城"
"华龙美晟" "东城"
"龙潭北里三条" "东城"
"周庄嘉园东里" "朝阳"
"芍药居" "朝阳"
"芍药居北里" "朝阳"
"芍药居2号院" "朝阳"
"芍药居5号院" "朝阳"
"芍药居4号院" "朝阳"
"芍药居9号院" "朝阳"
"芍药居14号院" "朝阳"
"芍药居1号院" "朝阳"
"芍药居甲2号院" "朝阳"
"绿雅阁" "朝阳"
"阳光空间" "朝阳"
"东方城" "朝阳"
"世嘉座" "朝阳"
"世捷座" "朝阳"
"隆远阁" "朝阳"
"吉利家园" "朝阳"
"旭风苑" "朝阳"
"国航宿舍" "朝阳"
"高原街4号院" "朝阳"
"世奥国际中心" "朝阳"
"惠新东街" "朝阳"
"育慧街2号院" "朝阳"
"高原街7号院" "朝阳"
"高原街" "朝阳"
"樱花中路" "朝阳"
"惠新东街14号院" "朝阳"
"育慧南路" "朝阳"
"高原街北桃园" "朝阳"
"惠新东街10号院" "朝阳"
"北三环东路11号院" "朝阳"
"力鸿花园" "朝阳"
"燕翔东里" "朝阳"
"华严北里小区" "朝阳"
"建工北国" "丰台"
"北京财富中心" "朝阳"
"双城公寓" "丰台"
"翠成馨园" "朝阳"
"芳群园一区" "丰台"
"和平街十区" "朝阳"
"金蝉北里" "朝阳"
"金蝉北里21号院" "朝阳"
"上东上层" "朝阳"
"尚东阁" "朝阳"
"香悦四季" "顺义"
"马坡香悦四季商业楼" "顺义"
"双榆树北里" "海淀"
"优点社区" "朝阳"
"朗琴园" "西城"
"红庙北里" "朝阳"
"依莲轩" "西城"
"格调" "西城"
"柴家湾" "朝阳"
"芳群园四区" "丰台"
"阜成门外大街甲40号" "西城"
"梧桐苑清露园" "门头沟"
"西木小区" "海淀"
"皓月园" "门头沟"
"首尔甜城一期" "燕郊"
"和谐家园一区" "昌平"
"北京北" "昌平"
"红莲南里" "西城"
"东丽温泉" "丰台"
"首城国际" "朝阳"
"顶秀欣园西苑" "丰台"
"裕中西里" "西城"
"通典铭居" "通州"
"石榴庄西街" "丰台"
"御路园" "昌平"
"葡东小区" "门头沟"
"六铺炕二区" "西城"
"顺驰领海" "大兴"
"首邑溪谷" "大兴"
"后现代城" "朝阳"
"葡东小区" "门头沟"
"白领家园" "朝阳"
"福怡苑" "朝阳"
"龙翔路小区" "海淀"
"大西洋新城A区" "朝阳"
"国典华园" "朝阳"
"华清嘉园" "海淀"
"砂轮厂宿舍" "海淀"
"农科院" "海淀"
"农科院家属楼" "海淀"
"绿苑" "海淀"
"亮马桥9号院" "朝阳"
"车公庄北里" "西城"
"东柳西里" "朝阳"
"龙华园" "昌平"
"新悦家园" "昌平"
"公园6号" "昌平"
"大钟寺13号院" "海淀"
"皂君西里" "海淀"
"远洋山水" "石景山"
"银地家园" "丰台"
"天通西苑二区" "昌平"
"日光清城" "通州"
"团结湖路" "朝阳"
"花涧溪" "通州"
"花涧溪二期" "通州"
"西辛南区" "顺义"
"春园" "丰台"
"碧春园" "昌平"
"展春园" "海淀"
"北苑家园望春园" "朝阳"
"东方太阳城" "顺义"
"畅春园" "海淀"
"王府家庭农场春园" "昌平"
"朝来绿色家园来春园" "朝阳"
"兴创屹墅" "大兴"
"和谐家园二区" "昌平"
"滨河东里" "大兴"
"天宁寺前街南里" "西城"
"角门东里" "丰台"
"康缘居" "丰台"
"望河园" "海淀"
"观澜国际" "海淀"
"甘露园南里" "朝阳"
"丽景馨居" "朝阳"
"小南庄社区" "海淀"
"珠江骏景中区" "丰台"
"郁花园一里" "大兴"
"和谐家园一区" "昌平"
"荣丰2008" "西城"
"定福庄西街" "朝阳"
"定福庄西街邮局宿舍" "朝阳"
"紫御府" "海淀"
"德宝新园" "西城"
"枣营西里" "朝阳"
"荣丰2008" "西城"
"北礼士路" "西城"
"北礼士路62号院" "西城"
"北礼士路70号院" "西城"
"北礼士路60号院" "西城"
"北礼士路64号院" "西城"
"北礼士路西四条" "西城"
"北礼士路甲54号院" "西城"
"宝盛里" "海淀"
"观林园" "海淀"
"万龙社区" "昌平"
"京通苑" "朝阳"
"车公庄北里" "西城"
"乐成国际" "朝阳"
"乐成公馆" "朝阳"
"广渠门外大街6号院" "朝阳"
"松榆西里" "朝阳"
"塔院小区" "海淀"
"珠江骏景中区" "丰台"
"亮马水晶" "朝阳"
"馨港庄园三区" "顺义"
"西四环中路47号院" "海淀"
"皂君西里" "海淀"
"六铺炕二区" "西城"
"和平里北街甲5号院" "朝阳"
"丰体时代花园" "丰台"
"和平里一区" "东城"
"团结湖中路北二条" "朝阳"
